Time,CoreZone,Zone1,Zone1A,Zone2,Zone2A,Zone2B,Zone3,Zone4,Zone4A
Sun Nov 17 10:00:24 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 10:30:50 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 20:06:37 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 20:20:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 20:30:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 20:40:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 20:50:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:00:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:10:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:20:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:30:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:40:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 21:50:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:00:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:10:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:20:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:30:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:40:29 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 22:50:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 23:00:05 2019,111,111,111,111,111,010,111,111,111
Sun Nov 17 23:10:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 23:20:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 23:30:05 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 23:40:04 2019,111,111,111,111,111,111,111,111,111
Sun Nov 17 23:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 00:00:06 2019,111,111,111,111,111,011,111,111,111
Mon Nov 18 00:10:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 00:20:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 00:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 00:40:04 2019,111,111,111,111,111,010,111,111,111
Mon Nov 18 00:50:04 2019,111,111,111,111,111,111,111,111,111
